epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1003.53,2.0713,1.81888,0.9867,0.45631,0.58941,0.52298,0.20701,1.95067,1.96686,0.96188,0.000833408,0.000833408,0.000833408
44,1025.3,1.96574,1.84821,0.98499,0.50451,0.59149,0.51545,0.2071,1.91404,1.97719,0.95855,0.000831608,0.000831608,0.000831608
45,1046.85,2.08154,1.82368,0.97859,0.55303,0.59598,0.55286,0.23143,1.91559,1.95555,0.95977,0.000829808,0.000829808,0.000829808
46,1068.53,2.00966,1.9037,1.00248,0.49496,0.62451,0.55262,0.22638,1.95279,2.0103,0.97115,0.000828008,0.000828008,0.000828008
47,1090.32,2.06766,1.79697,1.00718,0.55276,0.56071,0.57273,0.24001,1.90265,1.94307,0.97818,0.000826208,0.000826208,0.000826208
48,1112.14,1.89478,1.82907,0.98881,0.57985,0.55188,0.57237,0.24292,1.8944,1.94406,0.97422,0.000824408,0.000824408,0.000824408
49,1133.85,2.03677,1.73612,1.00287,0.49637,0.58875,0.5472,0.24,1.94141,1.88483,0.99096,0.000822609,0.000822609,0.000822609
50,1155.5,2.0178,1.78641,0.98037,0.54859,0.60185,0.58339,0.25189,1.93378,1.83436,0.9843,0.000820809,0.000820809,0.000820809
51,1177.8,1.96978,1.75432,0.97391,0.5591,0.57245,0.58119,0.2447,1.91997,1.84153,0.97524,0.000819009,0.000819009,0.000819009
52,1199.56,1.96624,1.72736,0.96377,0.55844,0.573,0.57301,0.25843,1.8843,1.77529,0.97326,0.000817209,0.000817209,0.000817209
53,1221.32,2.02148,1.76127,0.97966,0.5998,0.59724,0.5878,0.24809,1.92192,1.79071,0.96993,0.000815409,0.000815409,0.000815409
54,1243.38,1.95053,1.71659,0.9704,0.652,0.57112,0.58792,0.23772,1.96565,1.79221,0.97036,0.00081361,0.00081361,0.00081361
55,1264.99,1.95816,1.69053,0.99212,0.69633,0.61417,0.6198,0.26608,1.87081,1.72104,0.96355,0.00081181,0.00081181,0.00081181
56,1287.08,2.02241,1.64955,0.98222,0.69833,0.63061,0.65619,0.28287,1.91533,1.68219,0.98081,0.00081001,0.00081001,0.00081001
57,1308.78,1.97298,1.6656,0.98397,0.69629,0.63383,0.65402,0.26098,1.98632,1.73688,0.97084,0.00080821,0.00080821,0.00080821
58,1330.76,1.90693,1.65217,0.96435,0.52003,0.60456,0.5763,0.2358,2.00327,1.78093,0.96856,0.00080641,0.00080641,0.00080641
59,1352.7,1.96198,1.68387,0.95796,0.63099,0.59173,0.61562,0.25832,1.91952,1.72385,0.96222,0.00080461,0.00080461,0.00080461
60,1374.2,1.99267,1.65565,0.98929,0.66365,0.70268,0.6685,0.2712,1.95512,1.70056,0.97975,0.000802811,0.000802811,0.000802811
61,1395.88,1.98562,1.68491,0.99816,0.62444,0.66647,0.61228,0.26531,1.92394,1.68494,0.96952,0.000801011,0.000801011,0.000801011
62,1417.98,1.86108,1.54636,0.96053,0.53988,0.64215,0.58682,0.24116,2.00568,1.72719,0.97213,0.000799211,0.000799211,0.000799211
63,1439.76,2.0046,1.6674,0.96417,0.58667,0.56785,0.57884,0.23072,2.02673,1.74825,0.97025,0.000797411,0.000797411,0.000797411
64,1461.91,1.88944,1.58674,0.95741,0.57402,0.61159,0.60077,0.24727,1.935,1.63472,0.97992,0.000795611,0.000795611,0.000795611
65,1484.98,1.89665,1.6151,0.9963,0.58698,0.62429,0.60353,0.24227,2.01422,1.62972,0.99649,0.000793812,0.000793812,0.000793812
66,1506.43,2.08817,1.6372,1.01616,0.60675,0.64877,0.6167,0.23718,2.07785,1.66952,1.00953,0.000792012,0.000792012,0.000792012
67,1528.29,1.99297,1.57228,0.97807,0.60068,0.64974,0.59428,0.25183,1.96545,1.62986,0.98741,0.000790212,0.000790212,0.000790212
68,1550.75,1.93328,1.53137,0.97001,0.62056,0.60989,0.62794,0.26106,1.93265,1.64724,0.97548,0.000788412,0.000788412,0.000788412
69,1572.71,1.87841,1.64813,0.95002,0.67637,0.5851,0.62329,0.26768,1.88825,1.61878,0.96709,0.000786612,0.000786612,0.000786612
70,1594.28,1.87304,1.61367,0.9647,0.68024,0.6362,0.66062,0.28346,1.84916,1.53817,0.95942,0.000784812,0.000784812,0.000784812
71,1616.41,1.88904,1.51204,0.94454,0.68039,0.66743,0.63958,0.28066,1.87809,1.52964,0.96769,0.000783013,0.000783013,0.000783013
72,1638.18,1.96383,1.59587,0.9643,0.6186,0.70219,0.61999,0.26527,1.91894,1.54286,0.97617,0.000781213,0.000781213,0.000781213
73,1659.59,1.88096,1.469,0.9423,0.54332,0.62974,0.54605,0.21482,2.02344,1.70782,0.97901,0.000779413,0.000779413,0.000779413
74,1681.7,1.84725,1.55017,0.94006,0.50004,0.559,0.48676,0.192,2.04996,1.7275,0.98066,0.000777613,0.000777613,0.000777613
75,1703.43,1.90669,1.54634,0.96387,0.57965,0.62342,0.56756,0.22476,1.96196,1.64575,0.97457,0.000775813,0.000775813,0.000775813
76,1725.16,1.81338,1.4762,0.94045,0.70734,0.68638,0.68606,0.30419,1.86861,1.50276,0.97438,0.000774013,0.000774013,0.000774013
77,1746.96,1.86992,1.46248,0.97757,0.75032,0.71941,0.71478,0.30027,1.86163,1.46641,0.96941,0.000772214,0.000772214,0.000772214
78,1768.83,1.76291,1.48547,0.95176,0.70648,0.69096,0.69557,0.29025,1.87265,1.47137,0.96427,0.000770414,0.000770414,0.000770414
79,1790.52,1.82396,1.50548,0.95667,0.75166,0.67355,0.6808,0.2837,1.84169,1.51444,0.96128,0.000768614,0.000768614,0.000768614
80,1812.39,1.86034,1.48458,0.96505,0.69969,0.64982,0.67466,0.26553,1.9125,1.58482,0.97035,0.000766814,0.000766814,0.000766814
81,1834.34,1.84274,1.50709,0.94535,0.64716,0.66048,0.67015,0.25355,1.94816,1.6177,0.96714,0.000765014,0.000765014,0.000765014
82,1856.19,1.85226,1.44252,0.94826,0.66686,0.63811,0.65306,0.23801,1.98485,1.66,0.9709,0.000763215,0.000763215,0.000763215
83,1877.91,1.82981,1.43527,0.92825,0.64752,0.72803,0.69463,0.26997,1.92722,1.55506,0.96174,0.000761415,0.000761415,0.000761415
84,1899.41,1.78403,1.45205,0.95681,0.71028,0.72071,0.71083,0.30943,1.84144,1.40165,0.95302,0.000759615,0.000759615,0.000759615
85,1921.08,1.8511,1.38884,0.94308,0.65652,0.6789,0.64882,0.27439,1.87647,1.46546,0.95689,0.000757815,0.000757815,0.000757815
86,1943.44,1.72098,1.33807,0.95544,0.68571,0.63469,0.63487,0.25132,1.89597,1.51519,0.95711,0.000756015,0.000756015,0.000756015
87,1965.65,1.87797,1.33713,0.95024,0.66766,0.6893,0.64619,0.26022,1.92004,1.51587,0.96928,0.000754215,0.000754215,0.000754215
88,1987.49,1.88821,1.35274,0.94741,0.72474,0.71616,0.69908,0.29708,1.86117,1.48079,0.97266,0.000752416,0.000752416,0.000752416
89,2009.41,1.77296,1.38131,0.93875,0.76139,0.70092,0.72349,0.28122,1.90894,1.51652,0.9715,0.000750616,0.000750616,0.000750616
90,2031.1,1.91803,1.45309,0.96268,0.74222,0.73919,0.73555,0.29486,1.87434,1.4787,0.96763,0.000748816,0.000748816,0.000748816
91,2052.74,1.76649,1.31201,0.9231,0.68025,0.74861,0.70361,0.28792,1.89007,1.47024,0.96729,0.000747016,0.000747016,0.000747016
92,2074.4,1.79119,1.32299,0.92263,0.77568,0.68945,0.72981,0.30522,1.86934,1.39458,0.97298,0.000745216,0.000745216,0.000745216
93,2096.63,1.70748,1.3598,0.954,0.74236,0.68763,0.69603,0.28155,1.94768,1.39327,0.99156,0.000743417,0.000743417,0.000743417
94,2118.31,1.92178,1.34157,0.9477,0.80294,0.68409,0.69586,0.29004,1.92321,1.41075,0.97734,0.000741617,0.000741617,0.000741617
95,2140.16,1.78603,1.30342,0.93232,0.74654,0.66419,0.69328,0.27038,1.92192,1.46227,0.96208,0.000739817,0.000739817,0.000739817
96,2162.31,1.73027,1.28054,0.93021,0.72101,0.67359,0.68996,0.29769,1.90669,1.4469,0.95895,0.000738017,0.000738017,0.000738017
97,2184.07,1.724,1.27798,0.92954,0.78377,0.66448,0.72318,0.30885,1.87499,1.40185,0.9658,0.000736217,0.000736217,0.000736217
98,2206.28,1.76871,1.31119,0.94657,0.76501,0.66192,0.7042,0.31102,1.87597,1.389,0.96681,0.000734417,0.000734417,0.000734417
99,2228,1.76994,1.3068,0.9439,0.77399,0.66356,0.7104,0.30836,1.91389,1.40203,0.96048,0.000732618,0.000732618,0.000732618
