epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0439,5.23013,12.1064,2.6565,0,0,0,0,4.73732,9.21005,2.25718,1.818e-05,1.818e-05,1.818e-05
2,32.7756,4.84897,8.95244,2.29726,0,0,0,0,4.68612,8.16203,2.00582,4.5225e-05,4.5225e-05,4.5225e-05
3,46.5518,4.7724,8.28871,1.94218,0,0,0,0,4.35909,7.2265,1.6759,7.20001e-05,7.20001e-05,7.20001e-05
4,60.1121,4.45372,7.14622,1.67219,0,0,0,0,4.0547,6.68081,1.50807,9.85051e-05,9.85051e-05,9.85051e-05
5,74.1477,3.97412,6.29141,1.39328,0,0,0,0,3.79533,6.29618,1.38489,0.00012474,0.00012474,0.00012474
6,87.8303,3.59596,5.77371,1.24494,0,0,0,0,3.57002,6.03895,1.29206,0.000150705,0.000150705,0.000150705
7,101.583,3.59168,5.61247,1.247,0,0,0,0,3.25792,5.77566,1.20056,0.000176401,0.000176401,0.000176401
8,115.654,3.36206,5.36871,1.19858,0,0,0,0,3.0805,5.68843,1.1531,0.000201826,0.000201826,0.000201826
9,129.419,3.2005,5.10065,1.17652,0,0,0,0,2.78881,5.51016,1.0898,0.000226981,0.000226981,0.000226981
10,143.168,3.06157,5.00896,1.15267,0,0,0,0,2.6319,5.40403,1.06466,0.000251866,0.000251866,0.000251866
11,157.161,3.05965,4.72672,1.13284,0,0,0,0,2.6721,5.29702,1.04373,0.000276481,0.000276481,0.000276481
12,171.11,2.98653,4.48695,1.07762,0,0,0,0,2.7055,5.32378,1.04629,0.000300827,0.000300827,0.000300827
13,184.831,2.86458,4.39592,1.07378,0,0,0,0,2.67917,5.22064,1.04336,0.000324902,0.000324902,0.000324902
14,198.748,2.72428,3.75223,1.0516,0,0,0,0,2.63003,5.10696,1.06067,0.000348707,0.000348707,0.000348707
