epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9637,5.23013,12.1064,2.6565,0,0,0,0,4.73732,9.21005,2.25718,1.818e-05,1.818e-05,1.818e-05
2,35.14,4.85004,8.9536,2.29819,0,0,0,0,4.68618,8.16701,2.00674,4.5e-05,4.5e-05,4.5e-05
3,49.3686,4.77126,8.30163,1.94415,0,0,0,0,4.35594,7.22623,1.67665,7.12801e-05,7.12801e-05,7.12801e-05
4,63.2899,4.47039,7.15416,1.68404,0,0,0,0,4.00915,6.69812,1.50092,9.70203e-05,9.70203e-05,9.70203e-05
5,77.4066,3.99332,6.31111,1.4024,0,0,0,0,3.80194,6.24819,1.3743,0.000122221,0.000122221,0.000122221
6,91.1853,3.59594,5.77376,1.23969,0,0,0,0,3.6035,5.9322,1.3337,0.000146881,0.000146881,0.000146881
7,104.912,3.60379,5.62913,1.25396,0,0,0,0,3.30653,5.78207,1.21944,0.000171001,0.000171001,0.000171001
8,118.884,3.38145,5.38244,1.19598,0,0,0,0,3.11097,5.66429,1.16369,0.000194581,0.000194581,0.000194581
9,132.698,3.19749,5.1403,1.17237,0,0,0,0,2.85295,5.48417,1.09593,0.000217622,0.000217622,0.000217622
10,146.943,3.0349,5.02057,1.14521,0,0,0,0,2.7428,5.39482,1.06671,0.000240122,0.000240122,0.000240122
11,161.409,3.07754,4.76646,1.12846,0,0,0,0,2.64658,5.25961,1.04033,0.000262083,0.000262083,0.000262083
12,175.552,2.99262,4.55396,1.08773,0,0,0,0,2.5975,5.2302,1.02732,0.000283503,0.000283503,0.000283503
13,190.198,2.80026,4.46564,1.07349,0,0,0,0,2.57933,5.19045,1.02536,0.000304384,0.000304384,0.000304384
14,205.63,2.71459,3.83388,1.04715,0,0,0,0,2.53654,5.10286,1.02866,0.000324725,0.000324725,0.000324725
15,220.808,2.81568,3.92765,1.10733,0,0,0,0,2.47431,5.0404,1.0471,0.000344526,0.000344526,0.000344526
16,235.912,2.78127,3.58609,1.08737,0.00019,0.02597,0.00451,0.0018,2.47984,4.99282,1.04374,0.000363786,0.000363786,0.000363786
17,250.874,2.72039,3.44287,1.04031,0.00174,0.12987,0.06629,0.02363,2.42425,4.97549,1.02159,0.000382507,0.000382507,0.000382507
18,266.399,2.7201,3.41694,1.05268,0.00171,0.11688,0.07479,0.03017,2.46803,4.92283,1.03044,0.000400688,0.000400688,0.000400688
19,281.424,2.58452,3.3569,1.04336,0.00235,0.14286,0.08893,0.02657,2.4441,4.81129,1.03973,0.000418329,0.000418329,0.000418329
20,296.367,2.5319,3.1768,1.04035,0.0023,0.15584,0.06746,0.01962,2.47243,4.73534,1.07205,0.00043543,0.00043543,0.00043543
21,311.449,2.72954,3.24657,1.0723,0.00405,0.19481,0.10878,0.03043,2.39755,4.61931,1.04207,0.000451991,0.000451991,0.000451991
22,326.731,2.54824,2.98575,1.04164,0.00531,0.22078,0.1204,0.04281,2.2902,4.57128,0.99706,0.000468012,0.000468012,0.000468012
23,342.304,2.45723,3.03893,1.03322,0.00683,0.25974,0.11796,0.04801,2.27508,4.58473,0.97458,0.000483493,0.000483493,0.000483493
24,357.623,2.49498,2.97949,1.00689,0.01043,0.33766,0.14491,0.04885,2.37677,4.52356,0.98008,0.000498435,0.000498435,0.000498435
