epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1076.05,0.98745,2.37093,0.95019,1.1971,0.68049,0.77193,0.79946,0.53272,0.60412,0.68421,0.64023,0.22229,1.22184,3.59109,1.83223,1.518,0.0014258,0.0014258,0.0014258
31,1106.95,1.01856,2.45799,0.9615,1.21331,0.84285,0.75276,0.8339,0.5767,0.781,0.68829,0.72994,0.29336,1.21146,3.51887,1.90109,1.49736,0.001406,0.001406,0.001406
32,1138.03,1.02946,2.25731,0.92505,1.23437,0.84089,0.70175,0.83333,0.55557,0.81987,0.68421,0.72303,0.28368,1.21978,3.40071,1.50869,1.55445,0.0013862,0.0013862,0.0013862
33,1168.64,1.11946,2.43513,0.99459,1.24045,0.81381,0.78947,0.82099,0.55962,0.79523,0.77193,0.74446,0.31918,1.20146,3.30636,1.40059,1.45799,0.0013664,0.0013664,0.0013664
34,1199.35,1.01871,2.37058,0.92668,1.22037,0.91392,0.82456,0.92305,0.5752,0.8606,0.75824,0.81065,0.33877,1.22736,3.93047,1.23583,1.49542,0.0013466,0.0013466,0.0013466
35,1229.5,1.05312,2.36959,0.96913,1.25858,0.80087,0.92982,0.92493,0.5572,0.82116,0.80555,0.82745,0.32975,1.18648,4.00427,1.33863,1.43845,0.0013268,0.0013268,0.0013268
36,1259.82,1.0003,2.46697,0.93224,1.17275,0.89975,0.78947,0.90626,0.62406,0.87721,0.77193,0.87484,0.33562,1.04629,3.23493,1.25144,1.3326,0.001307,0.001307,0.001307
37,1290.63,1.07468,2.33726,0.95767,1.29866,0.93193,0.75439,0.87819,0.60974,0.86499,0.67449,0.74545,0.22469,1.09667,3.73628,1.34152,1.4729,0.0012872,0.0012872,0.0012872
38,1321.04,1.10355,2.60492,0.99438,1.27699,0.92274,0.75439,0.86403,0.59031,0.8013,0.64912,0.69534,0.23935,1.11162,3.67856,1.38727,1.51412,0.0012674,0.0012674,0.0012674
39,1351.37,1.00237,2.30241,0.93811,1.24359,0.96457,0.75439,0.89858,0.63373,0.91726,0.7193,0.82256,0.30397,1.02331,3.42778,1.28409,1.47603,0.0012476,0.0012476,0.0012476
40,1382.14,0.95682,2.31401,0.87849,1.19595,0.93718,0.78527,0.89785,0.65752,0.85833,0.74415,0.81728,0.31997,1.04891,3.25947,1.08988,1.37454,0.0012278,0.0012278,0.0012278
41,1412.84,0.98905,2.41538,0.85861,1.19267,0.88719,0.85965,0.90613,0.6269,0.87021,0.77193,0.82219,0.30154,1.09516,3.3536,0.98294,1.42519,0.001208,0.001208,0.001208
42,1443.34,0.94871,2.17647,0.83994,1.16784,0.91734,0.84211,0.91213,0.64158,0.89977,0.78746,0.84034,0.33189,1.07925,3.35728,0.92664,1.39654,0.0011882,0.0011882,0.0011882
43,1473.78,0.95403,2.22357,0.82972,1.16834,0.96189,0.88575,0.965,0.66992,0.84933,0.82456,0.86588,0.35893,1.02217,3.44986,0.85707,1.33348,0.0011684,0.0011684,0.0011684
44,1503.98,0.98175,2.30351,0.86203,1.18459,0.92712,0.89279,0.93068,0.68589,0.89072,0.85797,0.90415,0.41784,0.9908,3.09732,0.87869,1.30618,0.0011486,0.0011486,0.0011486
45,1537.06,0.93843,2.05849,0.78767,1.13714,0.93762,0.89474,0.96282,0.69978,0.84546,0.80702,0.86334,0.39961,0.97988,3.26116,0.8632,1.31663,0.0011288,0.0011288,0.0011288
46,1568.82,0.89725,2.19664,0.80959,1.14522,0.89542,0.87719,0.94199,0.71756,0.87522,0.82456,0.89788,0.43654,0.92004,3.04007,0.87917,1.23444,0.001109,0.001109,0.001109
47,1599.2,0.92142,2.13962,0.81691,1.14185,0.91031,0.89474,0.93543,0.70583,0.86668,0.78947,0.87656,0.42352,0.96399,3.03151,0.89857,1.25794,0.0010892,0.0010892,0.0010892
48,1629.45,0.94112,2.35964,0.81656,1.17836,0.88315,0.92819,0.94455,0.69973,0.82989,0.78947,0.81972,0.38928,0.98757,3.18169,0.85071,1.28356,0.0010694,0.0010694,0.0010694
49,1660.03,0.97947,2.08875,0.79872,1.15557,0.91176,0.90641,0.9499,0.69843,0.83222,0.78326,0.80974,0.3534,0.98212,3.21732,0.83376,1.30051,0.0010496,0.0010496,0.0010496
