epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4757,1.93183,5.97838,2.71913,2.09168,0.01,1,0.26511,0.07836,0.00667,0.66667,0.08027,0.01769,2.04828,6.01644,2.96483,2.61114,0.00012,0.00012,0.00012
2,80.5635,1.70524,5.55464,2.44304,1.97319,0.01,1,0.33287,0.14637,0.00667,0.66667,0.19009,0.05639,1.66386,5.15557,2.88762,2.14699,0.000254852,0.000254852,0.000254852
3,120.923,1.67762,4.34377,2.39478,1.9229,0.01,1,0.5063,0.2548,0.0081,0.80952,0.36272,0.13585,1.52435,4.69654,2.76306,1.99958,0.00038416,0.00038416,0.00038416
4,157.067,1.57256,3.97571,2.08431,1.77881,0.01,1,0.513,0.26624,0.00905,0.90476,0.37777,0.1397,1.45325,5.1698,2.65537,1.95904,0.000507924,0.000507924,0.000507924
5,193.403,1.5837,4.00927,2.06605,1.8251,0.38491,0.42857,0.372,0.14906,0.3678,0.38095,0.27724,0.08023,1.62251,6.45103,2.53557,2.08917,0.000626144,0.000626144,0.000626144
6,222.929,1.57423,3.70011,1.94378,1.75768,0.29291,0.15872,0.36503,0.174,0.17201,0.47619,0.14931,0.04569,1.61992,6.1946,2.46617,2.06805,0.00073882,0.00073882,0.00073882
7,250.788,1.39179,3.50943,1.62033,1.60491,0.29291,0.15872,0.36503,0.174,0.17201,0.47619,0.14931,0.04569,1.61992,6.1946,2.46617,2.06805,0.000845952,0.000845952,0.000845952
8,280.127,1.41025,3.33571,1.61811,1.66373,0.77578,0.47619,0.65579,0.37995,0.54865,0.38095,0.40058,0.16278,1.41681,5.05224,2.04069,1.92828,0.00094754,0.00094754,0.00094754
9,312.677,1.45734,3.2676,1.60423,1.7218,0.90125,0.52381,0.68819,0.39509,0.90305,0.42857,0.48264,0.18229,1.49935,4.75488,1.75977,1.97548,0.00104358,0.00104358,0.00104358
10,337.663,1.26754,3.45841,1.42353,1.57968,0.90125,0.52381,0.68819,0.39509,0.90305,0.42857,0.48264,0.18229,1.49935,4.75488,1.75977,1.97548,0.00113408,0.00113408,0.00113408
11,370.051,1.30298,3.2675,1.47321,1.53342,0.55793,0.52381,0.43149,0.17592,0.43354,0.47389,0.2598,0.06715,1.9619,6.45189,3.21859,2.50312,0.00121904,0.00121904,0.00121904
12,395.29,1.35138,3.47467,1.64723,1.59269,0.55793,0.52381,0.43149,0.17592,0.43354,0.47389,0.2598,0.06715,1.9619,6.45189,3.21859,2.50312,0.00129845,0.00129845,0.00129845
13,421.368,1.48938,3.1856,1.6804,1.7341,0.59316,0.62508,0.6019,0.32397,0.64539,0.52381,0.47772,0.20258,1.69723,4.73107,2.15353,2.15283,0.00137232,0.00137232,0.00137232
14,461.651,1.33203,3.35675,1.47372,1.53037,0.59316,0.62508,0.6019,0.32397,0.64539,0.52381,0.47772,0.20258,1.69723,4.73107,2.15353,2.15283,0.00144064,0.00144064,0.00144064
15,495.714,1.25755,3.15493,1.446,1.53688,0.70843,0.71429,0.73548,0.43899,0.88166,0.52381,0.61308,0.26517,1.43205,4.95127,1.68806,2.02959,0.0014456,0.0014456,0.0014456
16,526.687,1.35059,3.18981,1.4778,1.55601,0.70843,0.71429,0.73548,0.43899,0.88166,0.52381,0.61308,0.26517,1.43205,4.95127,1.68806,2.02959,0.001406,0.001406,0.001406
17,565.612,1.28388,3.3224,1.46386,1.54775,0.72566,0.80952,0.74502,0.47588,0.66072,0.64968,0.52735,0.25316,1.29346,4.54844,1.58993,1.8682,0.0013664,0.0013664,0.0013664
